author,title,text
Beatrix Potter,The Tale of Peter Rabbit,"The Tale of Peter Rabbit: Once upon a time there were four little Rabbits, and their names were— Flopsy, Mopsy, Cotton-tail, and Peter. 
They lived with their mother in a sand-bank, underneath the root of a very big fir-tree..."
Beatrix Potter,The Tale of Benjamin Bunny,"The Tale of Benjamin Bunny: One morning a little rabbit sat on a bank. He pricked his ears and listened to the trit-trot, trit-trot of a pony. 
A gig was coming along the road..."
Beatrix Potter,The Tale of Jemima Puddle-Duck,"The Tale of Jemima Puddle-Duck: What a funny sight it is to see a brood of ducklings with a hen! Listen to the tale of Jemima, who wanted to hatch her own eggs..."
Rudyard Kipling,Mowgli’s Brothers (from The Jungle Book),"Mowgli’s Brothers (from The Jungle Book): Now Rann the Kite brings home the night That Mang the Bat sets free— 
The herds are shut in byre and hut For loosed till dawn are we..."
Rudyard Kipling,Kaa’s Hunting,"Kaa’s Hunting: His spots are the joy of the Leopard: his horns are the buffalo’s pride. 
Be clean, for the strength of the hunter is known by the gloss of his hide..."
Rudyard Kipling,Tiger! Tiger!,"Tiger! Tiger!: What of the hunting, hunter bold? Brother, the watch was long and cold. The forest paths are dim and old, where once I chased my prey..."
Aesop's Fables,The Tortoise and the Hare,"The Tortoise and the Hare: A Hare was making fun of the Tortoise one day for being so slow. 
""Do you ever get anywhere?"" he asked with a mocking laugh..."
Aesop's Fables,The Fox and the Grapes,The Fox and the Grapes: A Fox one day spied a beautiful bunch of ripe grapes hanging from a vine high above his head...
Aesop's Fables,The Lion and the Mouse,"The Lion and the Mouse: A Lion lay asleep in the forest, his great head resting on his paws. 
A timid little Mouse came upon him unexpectedly, and in her fright and haste to get away, ran across the Lion’s nose..."
Summary,Common Themes in Children's Literature,"Beatrix Potter, Rudyard Kipling, and Aesop all employ anthropomorphic animal characters to impart moral lessons, a technique that renders complex human behaviors and ethical dilemmas accessible to readers of all ages."
